Age_[ka],Sea_level_[m]
1448.64,-13.35
1451.06,-29.99
1454.05,-49.10
1457.40,-50.98
1460.75,-42.40
1464.34,-31.97
1467.32,-13.55
1469.70,-14.19
1472.39,-14.21
1474.85,-1.93
1477.32,2.35
1479.78,9.09
1482.39,7.22
1485.75,5.95
1489.83,-26.70
1494.72,-50.13
1500.84,-42.21
1507.38,-34.35
1511.96,-14.15
1516.10,-4.39
1520.14,-13.71
1523.95,-26.10
1530.97,-37.02
1534.62,-55.87
1538.28,-49.80
1541.57,-49.87
1545.31,-19.19
1548.83,-21.11
1552.08,-38.10
1555.12,-23.71
1558.40,-20.09
1561.67,-14.62
1564.48,-18.99
1568.09,-24.92
1570.62,-30.82
1572.43,-42.55
1576.27,-41.09
1578.97,-38.38
1580.12,-35.33
1583.24,-21.87
1584.03,-24.96
1589.51,-20.77
1591.44,-24.51
1592.18,-18.99
1595.49,-17.83
1599.20,-14.83
1600.31,-16.09
1601.79,-15.52
1602.83,-14.32
1603.71,-11.27
1605.20,-20.55
1605.79,-16.26
1607.28,-16.92
1608.76,-23.12
1610.24,-21.94
1611.14,-13.97
1612.03,-29.38
1614.69,-25.77
1617.67,-18.78
1620.63,-27.18
1623.30,-26.34
1626.39,-23.05
1628.98,-47.75
1631.20,-12.74
1632.75,-45.40
1634.72,-37.46
1637.09,-54.15
1639.45,-4.08
1644.18,-49.45
1650.54,-51.49
1659.99,-43.17
1667.46,-44.02
1669.31,-45.30
1670.24,-50.26
1670.98,-47.20
1671.48,-41.68
1672.23,-38.63
1672.98,-36.80
1674.23,-22.69
1678.72,-15.45
1689.36,-13.32
1691.83,-1.70
1692.90,-20.19
1693.62,-19.60
1694.69,-26.40
1695.50,-35.66
1697.51,-38.80
1699.26,-42.54
1702.58,-37.11
1709.03,-36.09
1719.68,-12.44
1725.77,-28.02
1727.75,-6.54
1729.11,-10.90
1730.02,-30.61
1731.38,-22.66
1735.01,-13.55
1740.00,-16.48
1744.01,-31.68
1747.01,-22.55
1748.58,-44.75
1751.77,-27.63
1753.68,-19.69
1755.83,-25.91
1758.40,-24.76
1760.68,-2.69
1763.20,-7.07
1766.10,-12.09
1768.59,-21.40
1771.07,-1.18
1773.96,-3.73
1776.75,-11.20
1779.60,-30.99
1781.93,-31.06
1783.74,-47.12
1785.61,-34.87
1789.48,-33.15
1793.22,-38.19
1797.10,-35.24
1797.76,-32.86
1799.18,-32.90
1800.88,-31.11
1802.01,-20.06
1803.28,-9.64
1804.70,-14.60
1805.98,-18.94
1807.39,-14.06
1808.95,-17.18
1810.37,-10.45
1813.47,-21.61
1815.02,-14.88
1816.56,-37.69
1817.96,-39.57
1819.50,-23.00
1821.05,-13.81
1822.75,-13.24
1824.14,-11.44
1825.53,-3.48
1827.23,8.17
1828.62,-9.71
1830.01,-10.98
1831.71,-11.03
1833.23,-19.07
1834.74,-20.95
1835.80,-30.21
1837.47,-15.49
1838.07,-23.51
1840.64,-16.81
1842.46,-16.24
1843.98,-16.90
